,Species,Order,Family,Closest Species,Genbank ID
91,Semipalmated Sandpiper,Charadriiformes,Scolopacidae,Larus glaucoides,AF173637.1
92,Northern Pintail,Anseriformes,Anatidae,Anas platyrhynchos,AF173614.1
93,Crane,Gruiformes,Gruidae,Grus canadensis,AF173632.1
94,Softbill,N/A,N/A,,
95,Herring Gull,Charadriiformes,Laridae,Larus glaucoides,AF173637.1
96,Sparrow,Passeriformes,Passeridae,Passer montanus,D38344.1
97,Spot-Billed Duck,Anseriformes,Anatidae,Anas platyrhynchos,AF173614.1
98,Black Scoter,Anseriformes,Anatidae,Anas platyrhynchos,AF173614.1
99,Emu,Casuariiformes,Dromaiidae,Dromaius novaehollandiae,AF173610.1
100,Starling,Passeriformes,Sturnidae,Acridotheres tristis,EF426478.1
101,Flycatcher,Passeriformes,Muscicapidae,Ficedula narcissina,D38356.1
102,Brown-Headed Gull,Charadriiformes,Laridae,Larus glaucoides,AF173637.1
103,Great Crested Grebe,Podicipediformes,Podicipedidae,Podiceps auritus,AF173635.1
104,Egret,Pelecaniformes,Ardeidae,,
105,Swan,Anseriformes,Anatidae,Anas platyrhynchos,AF173614.1
106,Common Goldeneye,Anseriformes,Anatidae,Anas platyrhynchos,AF173614.1
107,Bar-Headed Goose,Anseriformes,Anatidae,Anas platyrhynchos,AF173614.1
108,Great Black-Headed Gull,Charadriiformes,Laridae,Larus glaucoides,AF173637.1
109,Grebe,Podicipediformes,Podicipedidae,Podiceps auritus,AF173635.1
110,null,,,,
111,Eagle,Accipitriformes,Accipitridae,,
112,Common Scoter,Anseriformes,Anatidae,Anas platyrhynchos,AF173614.1
113,Cinnamon Teal,Anseriformes,Anatidae,Anas platyrhynchos,AF173614.1
114,Whooper Swan,Anseriformes,Anatidae,Anas platyrhynchos,AF173614.1
115,Little Grebe,Podicipediformes,Podicipedidae,Podiceps auritus,AF173635.1
116,Tree Sparrow,Passeriformes,Passeridae,Passer montanus,D38344.1
117,Greater White-Fronted Goose,Anseriformes,Anatidae,Anas platyrhynchos,AF173614.1
118,Falcon,Falconiformes,Falconidae,Neophron percnopterus,AF173633.1
119,Poultry,Galliformes,Phasianidae,Gallus gallus,M59389.1
120,Blue-Winged Teal,Anseriformes,Anatidae,Anas platyrhynchos,AF173614.1
121,Parrot,Psittacopasserae,Psittaciformes,Trichoglossus haematodus,KM884825.1
122,Rosy-Billed Pochard,Anseriformes,Anatidae,Anas platyrhynchos,AF173614.1
123,Large Cat,Carnivora,Felidae,Felis catus,AY150542.1
124,Dog,Carnivora,Canidae,Canis familiaris,AY623831.1
125,Eurasian Wigeon,Anseriformes,Anatidae,Anas platyrhynchos,AF173614.1
126,Hooded Merganser,Anseriformes,Anatidae,Anas platyrhynchos,AF173614.1
127,Pink-Footed Goose,Anseriformes,Anatidae,Anas platyrhynchos,AF173614.1
128,Shrike,Passeriformes,Laniidae,,
129,Barn Swallow,Passeriformes,Hirundinidae,,
130,Laughing Gull,Charadriiformes,Laridae,Larus glaucoides,AF173637.1
131,Greater Scaup,Anseriformes,Anatidae,Anas platyrhynchos,AF173614.1
132,Pelican,Pelecaniformes,Pelecanidae,,
133,Garganey,Anseriformes,Anatidae,Anas platyrhynchos,AF173614.1
134,Gadwall,Anseriformes,Anatidae,Anas platyrhynchos,AF173614.1
135,Black-Billed Magpie,Passeriformes,Corvidae,Corvus macrorhynchos,D38334.1
136,Camel,Artiodactyla,Camelidae,Camelus dromedarius,EF426477.1
137,Crow,Passeriformes,Corvidae,Corvus macrorhynchos,D38334.1
138,Snow Goose,Anseriformes,Anatidae,Anas platyrhynchos,AF173614.1
139,Dunlin,Charadriiformes,Scolopacidae,Larus glaucoides,AF173637.1
140,Mallard,Anseriformes,Anatidae,Anas platyrhynchos,AF173614.1
141,Mallard-Black Duck Hybrid,Anseriformes,Anatidae,Anas platyrhynchos,AF173614.1
142,Chicken,Galliformes,Phasianidae,Gallus gallus,M59389.1
