,collection_date,country,host_species,reassortant,state,strain_name,subtype
14251,2012-07-24,USA,Mallard/Avian,True,California,A/mallard/California/2951/2012,H10N7
14252,2006-08-19,USA,Mallard/Avian,True,Interior Alaska,A/mallard/Interior Alaska/6MP0988/2006,Mixed
14253,1986-05-12,USA,Sanderling/Avian,True,New Jersey,A/sanderling/New Jersey/766/1986,H2N7
14254,2007-07-26,China,Duck/Avian,False,Fujian,A/duck/Fujian/2356/2007,H6N6
14255,2008-11-01,USA,Northern Pintail/Avian,False,California,A/northern pintail/California/8764/2008,H6N1
14256,2014-02-04,USA,Human,False,New York,A/New York/WC-LVD-14-024/2014,H1N1
14257,1999-05-24,USA,Ruddy Turnstone/Avian,True,Delaware Bay,A/ruddy turnstone/Delaware Bay/142/1999,H3N2
14258,2011-02-24,Singapore,Human,False,,A/Singapore/GP677/2011,H1N1
14259,2006-03-12,USA,Human,False,New York,A/New York/1039/2006,H3N2
14260,2010-07-11,Thailand,Human,False,Khon Kaen,A/Khon Kaen/INS452/2010,H1N1
14261,2012-03-09,Peru,Human,False,,A/Peru/PER102/2012,H3N2
14262,2002-12-14,Sweden,Mallard/Avian,False,,A/mallard/Sweden/1645/2002,H7N7
14263,2007-02-20,USA,Human,False,Mississippi,A/Mississippi/UR06-0378/2007,H1N1
14264,2005-01-01,USA,Mallard/Avian,True,Maryland,A/mallard/Maryland/681/2005,H3N2
14265,2003-11-12,United Kingdom,Human,False,England,A/England/438/2003,H3N2
14266,2007-01-22,USA,Human,False,Mississippi,A/Mississippi/UR06-0048/2007,H1N1
14267,2009-11-26,USA,Human,False,New York,A/New York/6571/2009,H1N1
14268,2013-04-03,China,Chicken/Avian,False,Shanghai,A/chicken/Shanghai/S1413/2013,H7N9
14269,1991-12-19,Italy,Human,False,Siena,A/Siena/3/1991,H3N2
14270,2009-05-20,USA,Ruddy Turnstone/Avian,True,New Jersey,A/ruddy turnstone/New Jersey/AI09-119/2009,H1N8
14271,1995-01-27,Italy,Human,False,Siena,A/Siena/3/1995,H3N2
14272,1996-07-09,United Kingdom,Swine,False,England,A/swine/England/40280/1996,H1N2
14273,2002-09-09,Hong Kong,Swine,False,,A/swine/Hong Kong/1248/2002,H1N2
14274,2010-07-12,Thailand,Human,False,Khon Kaen,A/Khon Kaen/INS461/2010,H1N1
14275,2013-01-12,USA,Human,False,Houston,A/Houston/JMM_142/2013,H3N2
14276,2009-12-15,USA,Human,False,Wisconsin,A/Wisconsin/629-D00337/2009,H1N1
14277,1996-12-20,United Kingdom,Swine,False,England,A/swine/England/645913/1996,H1N2
14278,2004-12-08,USA,Human,False,New York,A/New York/362/2004,H3N2
14279,2011-01-21,USA,Human,False,Boston,A/Boston/DOA17/2011,H3N2
14280,2009-04-23,Mexico,Human,False,,A/Mexico/24007/2009,H1N1
14281,2007-09-24,Canada,American Black Duck/Avian,True,New Brunswick,A/American black duck/New Brunswick/02653/2007,H4N6
14282,2010-07-29,USA,Avian,False,Interior Alaska,A/northern pintail/Interior Alaska/10BM06303R0/2010,H7N3
14283,2010-05-28,China,Swine,False,Guangdong,A/swine/Guangdong/1617/2010,H1N1
14284,2006-01-01,USA,Mallard/Avian,True,Ohio,A/mallard/Ohio/468159-4/2006,H5N2
14285,2000-09-20,Australia,Human,False,Western Australia,A/Western Australia/2/2000,H3N2
14286,2012-12-03,USA,Human,False,Michigan,A/Michigan/33/2012,H3N2
14287,2011-09-20,Peru,Human,False,,A/Peru/PER049/2011,H3N2
14288,2012-03-01,China,Waterfowl/Avian,False,Dongting,A/wild waterfowl/Dongting/C4316/2012,H9N2
14289,2009-05-31,USA,Human,False,New York,A/New York/NHRC0001/2009,H1N1
14290,2002-08-27,USA,Mallard/Avian,False,Maryland,A/mallard/Maryland/750/2002,H4N6
14291,2012-08-03,USA,Mallard/Avian,False,California,A/mallard/California/3148/2012,H2N3
14292,1999-08-11,Canada,Pintail/Avian,False,Alberta,A/pintail/Alberta/207/1999,Mixed
14293,2002-08-06,Australia,Human,False,Queensland,A/Queensland/26/2002,H3N2
14294,2011-10-15,Nicaragua,Human,False,,A/Nicaragua/AGA2-37/2011,H1N1
14295,2007-02-22,USA,Human,False,New York,A/New York/UR06-0386/2007,H1N1
14296,1989-04-23,USA,Herring Gull/Avian,True,NJ,A/herring gull/NJ/402/1989,H5N3
14297,2010-08-08,Canada,Avian,False,New Brunswick,A/green-winged teal/New Brunswick/00336/2010,H3N8
14298,2008-02-20,Egypt,Duck/Avian,False,,A/duck/Egypt/0871/2008,H5N1
14299,2009-05-21,USA,Human,False,New York,A/New York/3611/2009,H1N1
14300,2009-08-13,Nicaragua,Human,False,Managua,A/Managua/527.04/2009,H1N1
14301,2009-10-19,USA,Human,False,Texas,A/Texas/461917783/2009,H1N1
14302,2005-01-01,USA,Environment,True,Maryland,A/environment/Maryland/1175/2005,H3N8
14303,2008-10-29,USA,Greater White-Fronted Goose/Avian,False,California,A/greater white-fronted goose/California/6365/2008,H6N1
14304,2005-11-02,Sweden,Mallard/Avian,True,,A/mallard/Sweden/5709/2005,H4N2
14305,2010-08-10,Canada,Avian,False,New Brunswick,A/American black duck/New Brunswick/00410/2010,H1N1
14306,1988-01-01,USA,Human,False,Oklahoma,A/Oklahoma/5/1988,H3N2
14307,2009-07-11,USA,Avian,False,Interior Alaska,A/mallard/Interior Alaska/9BM2250R0/2009,H4N6
14308,2012-05-23,Peru,Human,False,,A/Peru/PER037/2012,H3N2
14309,2009-12-20,Greece,Human,False,Athens,A/Athens/INS162/2009,H1N1
14310,2007-02-05,USA,Human,False,Oregon,A/Oregon/UR06-0185/2007,H1N1
14311,2007-08-27,Sweden,Mallard/Avian,True,,A/mallard/Sweden/59463/2007,H10N7
14312,2010-05-12,Canada,Avian,False,Quebec,A/ring-billed gull/Quebec/G068/2010,H1N3
14313,2007-09-06,USA,American Wigeon/Avian,False,Interior Alaska,A/American widgeon/Interior Alaska/1/2007,H3N8
14314,2011-01-27,USA,Human,False,Boston,A/Boston/DOA21/2011,H1N1
14315,2007-09-01,USA,Duck/Avian,False,Interior Alaska,A/duck/Interior Alaska/7MP1582/2007,H1N1
14316,2000-07-25,New Zealand,Human,False,Wellington,A/Wellington/6/2000,H1N1
14317,2009-01-01,Russia,Human,True,Tomsk,A/Tomsk/01/2009,H1N1
14318,2006-02-21,USA,Chicken/Avian,False,New York,A/chicken/New York/19495-2/2006,H7N2
14319,2004-08-18,New Zealand,Human,False,Wellington,A/Wellington/6/2004,H3N2
14320,2005-08-14,New Zealand,Human,False,Wellington,A/Wellington/6/2005,H3N2
14321,2009-05-16,USA,Human,False,New York,A/New York/3502/2009,H1N1
14322,2007-01-30,USA,Human,False,Ohio,A/Ohio/UR06-0121/2007,H1N1
14323,2009-07-24,Viet Nam,Human,False,,A/Viet Nam/811/2009,H1N1
14324,2009-04-26,USA,Human,False,California,A/California/VRDL378/2009,H1N1
14325,2009-01-01,USA,Avian,False,Interior Alaska,A/northern pintail/Interior Alaska/9BM12068R0/2009,H8N4
14326,2010-09-20,USA,Swine,False,Pennsylvania,A/swine/Pennsylvania/a01076503/2010,H3N2
14327,2004-10-27,Australia,Human,False,Queensland,A/Queensland/50/2004,H3N2
14328,2010-08-12,Canada,Avian,False,New Brunswick,A/American black duck/New Brunswick/00500/2010,H3N8
14329,1994-01-01,Australia,Duck/Avian,True,Victoria,A/duck/Victoria/D23/1994,H4N2
14330,2010-08-01,USA,Northern Pintail/Avian,False,Interior Alaska,A/northern pintail/Interior Alaska/10BM07242R0/2010,H4N6
14331,2007-11-06,Malaysia,Human,False,,A/Malaysia/1887206/2007,H1N1
14332,2009-05-20,USA,Human,False,Wisconsin,A/Wisconsin/629-D01787/2009,H1N1
14333,1995-12-08,USA,Human,False,New York,A/New York/607/1995,H1N1
14334,2013-01-20,USA,Human,False,Boston,A/Boston/YGA_01180/2013,H3N2
14335,2007-03-02,USA,Human,False,Ohio,A/Ohio/UR06-0493/2007,H1N1
14336,2005-07-03,New Zealand,Human,False,Canterbury,A/Canterbury/129/2005,H3N2
14337,2009-09-17,Viet Nam,Human,False,,A/Viet Nam/13032048/2009,H1N1
14338,2012-10-27,USA,Mallard/Avian,True,Wisconsin,A/mallard/Wisconsin/12OS4331/2012,H3N8
14339,2004-06-29,Hong Kong,Human,False,,A/Hong Kong/HKU22/2004,H3N2
14340,1987-01-01,USA,Mallard/Avian,False,Ohio,A/mallard/Ohio/568/1987,H11N9
14341,2013-01-15,USA,Human,False,Boston,A/Boston/DOA2-218/2013,H3N2
14342,2009-09-21,USA,Human,False,Wisconsin,A/Wisconsin/629-D01355/2009,H1N1
14343,2011-01-15,USA,Human,False,Boston,A/Boston/DOA12/2011,H3N2
14344,2009-08-17,USA,Mallard/Avian,False,Interior Alaska,A/mallard/Interior Alaska/9BM10851R0/2009,H3N8
14345,2009-06-10,USA,Human,False,New York,A/New York/3992/2009,H1N1
14346,2007-10-24,USA,Northern Pintail/Avian,True,California,A/northern pintail/California/HKWF151/2007,H6N1
14347,2013-04-10,Viet Nam,Muscovy Duck/Avian,False,Quang Ninh,A/muscovy duck/Quang Ninh/9/2013,H5N1
14348,2006-01-01,Netherlands,Mallard/Avian,False,,A/mallard/Netherlands/71/2006,H6N2
14349,2013-03-26,Taiwan,Chicken/Avian,False,,A/chicken/Taiwan/8988/2013,H5N2
14350,2010-04-26,China,Duck/Avian,False,Eastern China,A/duck/Eastern China/14/2010,H6N6
14351,1996-04-01,USA,Human,False,New York,A/New York/652/1996,H3N2
14352,2006-01-01,Nigeria,Ostrich/Avian,False,,A/ostrich/Nigeria/1047-25/2006,H5N1
14353,2010-05-21,Nicaragua,Human,False,Managua,A/Managua/2654.01/2010,H3N2
14354,2010-10-14,Japan,Duck/Avian,False,Hokkaido,A/duck/Hokkaido/WZ83/2010,H5N1
14355,1998-05-19,USA,Laughing Gull/Avian,True,Delaware Bay,A/laughing gull/Delaware Bay/296/1998,H16N3
14356,2009-08-16,Singapore,Human,False,,A/Singapore/GP2987/2009,H1N1
14357,2012-12-06,USA,Human,False,Boston,A/Boston/YGA_02001/2012,H3N2
14358,2010-08-15,Canada,Avian,True,New Brunswick,A/blue-winged teal/New Brunswick/00600/2010,H3N7
14359,2009-04-27,USA,Human,False,California,A/California/VRDL134/2009,H1N1
14360,1984-01-01,USA,Mallard/Avian,False,Wisconsin,A/mallard/Wisconsin/2272/1984,H3N2
14361,2000-01-01,Taiwan,Chicken/Avian,False,,A/chicken/Taiwan/2838N/00,H6N1
14362,2006-01-01,China,Swine,False,Guangdong,A/swine/Guangdong/1222/2006,H1N2
14363,2007-03-07,USA,Human,False,Kentucky,A/Kentucky/UR06-0538/2007,H1N1
14364,2013-02-03,USA,Human,False,Boston,A/Boston/YGA_01202/2013,H1N1
14365,2009-06-10,USA,Human,False,New York,A/New York/4048/2009,H1N1
14366,2009-07-20,Canada,Swine,False,SK,A/SW/SK/12-71/2009,H1N1
14367,2011-08-05,USA,Swine,False,Ohio,A/swine/Ohio/11SW119/2011,H3N2
14368,2009-07-23,Hong Kong,Swine,True,,A/swine/Hong Kong/1479/2009,H1N2
14369,2009-12-24,Spain,Human,False,Terrassa,A/Terrassa/INS174/2009,H1N1
14370,2009-05-24,USA,Ruddy Turnstone/Avian,False,New Jersey,A/ruddy turnstone/New Jersey/AI09-587/2009,H10N7
14371,2013-03-26,USA,Swine,False,Iowa,A/swine/Iowa/13C094/2013,H1N2
14372,2010-08-12,USA,Swine,False,Ohio,A/swine/Ohio/10SW128/2010,H3N2
14373,2003-04-26,Germany,Swine,True,Nordkirchen,A/swine/Nordkirchen/IDT1993/2003,H3N2
14374,2013-01-17,USA,Human,False,Boston,A/Boston/DOA2-172/2013,H3N2
14375,2009-07-01,United Kingdom,Human,False,England,A/England/634/2009,H1N1
14376,2010-05-17,Nicaragua,Human,False,Managua,A/Managua/3345.02/2010,H3N2
14377,2003-08-08,Canada,Mallard/Avian,True,Alberta,A/mallard/Alberta/254/2003,H3N3
14378,2009-05-20,USA,Shorebird/Avian,False,Delaware Bay,A/shorebird/Delaware Bay/240/2009,H10N7
14379,2008-01-01,USA,Swine,False,Texas,A/swine/Texas/050625/2008,H1N2
14380,2003-12-04,USA,Human,False,New York,A/New York/37/2003,H3N2
14381,2009-01-01,Russia,Human,True,Salekhard,A/Salekhard/01/2009,H1N1
14382,2011-01-20,Thailand,Human,False,,A/Thailand/CU-H2911/2011,H1N1
14383,1996-01-01,China,Human,False,Nanchang,A/Nanchang/23/1996,H1N1
14384,2013-04-01,USA,Human,False,Boston,A/Boston/YGA_00098/2013,H3N2
14385,2012-08-01,USA,Mallard/Avian,True,California,A/mallard/California/3135/2012,H2N7
14386,2007-02-14,USA,Human,False,Colorado,A/Colorado/UR06-0279/2007,H3N2
14387,2009-10-19,Canada,Human,False,Ontario,A/Ontario/29801/2009,H1N1
14388,1994-04-18,Hong Kong,Swine,False,,A/swine/Hong Kong/2445/1994,H1N1
14389,2002-05-20,USA,Shorebird/Avian,True,Delaware Bay,A/shorebird/Delaware Bay/6/2002,H11N9
14390,2009-12-14,USA,Human,False,New York,A/New York/6949/2009,H1N1
14391,2000-01-01,USA,Ruddy Turnstone/Avian,True,NJ,A/ruddy turnstone/NJ/581/2000,H12N5
14392,1999-10-16,USA,Gadwall/Avian,True,Ohio,A/gadwall/Ohio/37/1999,H6N2
14393,1980-01-01,USA,Swine,False,Wisconsin,A/swine/Wisconsin/11/1980,H1N1
14394,2010-08-14,USA,Mallard/Avian,False,Interior Alaska,A/mallard/Interior Alaska/10BM12311R0/2010,H3N8
14395,2002-01-01,Taiwan,Human,False,,A/Taiwan/141/2002,H1N1
14396,2004-05-28,Hong Kong,Human,False,,A/Hong Kong/HKU18/2004,H3N2
14397,2010-10-03,USA,Avian,True,Wisconsin,A/mallard/Wisconsin/10OS3066/2010,H6N2
14398,2000-05-15,USA,Shorebird/Avian,False,Delaware Bay,A/shorebird/Delaware Bay/212/2000,H10N7
14399,2003-01-12,USA,Human,False,New York,A/New York/222/2003,H1N1
14400,2013-08-31,USA,Swine,False,Indiana,A/swine/Indiana/13TOSU5925/2013,H1N1
14401,2008-01-27,USA,Green-Winged Teal/Avian,False,California,A/green winged teal/California/AKS1370/2008,H7N3
14402,2005-01-01,Netherlands,Mallard/Avian,True,,A/mallard/Netherlands/3/2005,H3N8
14403,2007-02-26,USA,Human,False,Kentucky,A/Kentucky/UR06-0425/2007,H1N1
14404,2013-07-23,USA,Mallard/Avian,False,California,A/mallard/California/1397/2013,H5N5
14405,2009-11-15,USA,Human,False,California,A/California/VRDL105/2009,H1N1
14406,2008-08-10,USA,Mallard/Avian,False,Interior Alaska,A/mallard/Interior Alaska/8MP0457R1/2008,H8N4
14407,2009-12-25,USA,Human,False,Texas,A/Texas/JMS392/2009,H1N1
14408,2003-01-01,USA,Mallard/Avian,True,Maryland,A/mallard/Maryland/320/2003,H2N3
14409,2009-11-15,Viet Nam,Human,False,,A/Viet Nam/13032100/2009,H1N1
14410,2006-01-01,USA,Guineafowl/Avian,False,Oregon,A/Guinea fowl/Oregon/459674-5/2006,H5N2
14411,2006-07-26,USA,Environment,False,New York,A/environment/New York/46545-1/2006,H7N2
14412,2012-12-28,USA,Human,False,Santa Clara,A/Santa Clara/YGA_03067/2012,H3N2
14413,2011-12-09,USA,Avian,False,Mississippi,A/American green-winged teal/Mississippi/11OS5903/2011,H4N6
14414,2008-11-15,Sweden,Mallard/Avian,False,,A/mallard/Sweden/79416/2008,H11N9
14415,2011-11-01,Iceland,Goose/Avian,True,,A/greylag goose/Iceland/1482/2011,H6N8
14416,2008-11-18,Nicaragua,Human,False,Managua,A/Managua/4444.01/2008,H1N1
14417,2009-08-24,Canada,Human,False,Ontario,A/Ontario/10016/2009,H1N1
14418,2004-01-01,USA,Ruddy Turnstone/Avian,False,NJ,A/ruddy turnstone/NJ/203/2004,H10N7
14419,2009-05-07,United Kingdom,Human,False,England,A/England/253/2009,H1N1
14420,2007-05-26,China,Duck/Avian,False,Fujian,A/duck/Fujian/331/2007,H6N6
14421,2013-07-30,USA,Mallard/Avian,False,California,A/mallard/California/1480/2013,H5N5
14422,2009-06-09,USA,Human,False,Wisconsin,A/Wisconsin/629-S0222/2009,H1N1
14423,2010-10-23,Peru,Human,False,,A/Peru/PER059/2010,H3N2
14424,2006-11-17,USA,Swine,False,Minnesota,A/swine/Minnesota/001332/2006,H3N2
14425,2009-05-27,USA,Human,False,Wisconsin,A/Wisconsin/629-D01886/2009,H1N1
14426,2009-09-10,USA,Human,False,Texas,A/Texas/45103998/2009,H1N1
14427,2011-02-24,Taiwan,Human,False,,A/Taiwan/1829/2011,H1N1
14428,2014-02-18,Finland,Human,False,Helsinki,A/Helsinki/771N/2014,H1N1
14429,2010-12-10,China,Duck/Avian,False,Guangdong,A/duck/Guangdong/S4018/2010,H6N6
