,Country,Species,Habitat/setting,Host,Human-interface,Check surveillance data,Notes
120,India,Goose,Domestic,Avian,High,No,
121,India,Aquatic Bird,Wild,Avian,Low,No,
122,India,Chicken,Domestic,Avian,High,No,
123,India,Human,Human,Mammal,High,No,
124,Nepal,Human,Human,Mammal,High,No,
125,Mongolia,Herring Gull,Wild,Avian,Low,No,
126,Mongolia,Camel,Domestic,Mammal,High,No,
127,Mongolia,Black-Headed Gull,Wild,Avian,Low,No,
128,Mongolia,Common Goldeneye,Wild,Avian,Low,No,
129,Mongolia,Whooper Swan,Wild,Avian,Low,No,
130,Mongolia,Red-Crested Pochard,Wild,Avian,Low,No,
131,Mongolia,Human,Human,Mammal,High,No,
132,Mongolia,Duck,Wild,Avian,Low,No,No poultry in Mongolia
133,France,Turkey,Domestic,Avian,High,No,
134,France,Mallard,Wild,Avian,Low,No,
135,France,Swine,Domestic,Mammal,High,No,
136,France,Human,Human,Mammal,High,No,
137,France,Duck,Domestic,Avian,High,No,
138,France,Muscovy Duck,Domestic,Avian,High,No,
139,Luxembourg,Human,Human,Mammal,High,No,
140,Georgia,Garganey,Wild,Avian,Low,No,
141,Georgia,Gull,Wild,Avian,Low,No,
142,Georgia,Northern Shoveler,Wild,Avian,Low,No,
143,Georgia,Black-Headed Gull,Wild,Avian,Low,No,
144,Georgia,Mallard,Wild,Avian,Low,No,
145,Georgia,Teal,Wild,Avian,Low,No,
146,Georgia,Duck,Domestic,Avian,High,No,Unlikely to be wild. Can ask Nicola Lewis.
147,Peru,Human,Human,Mammal,High,No,
148,Laos,Environment,Unknown,Unknown,,Yes,
149,Laos,Chicken,Domestic,Avian,High,No,
150,Laos,Pigeon,Wild,Avian,Medium,No,Synanthropic
151,Laos,Duck,Domestic,Avian,High,No,
152,Argentina,Rosy-Billed Pochard,Wild,Avian,Low,No,
153,Argentina,Horse,Domestic,Mammal,High,No,
154,Argentina,Human,Human,Mammal,High,No,
155,Bolivia,Human,Human,Mammal,High,No,
156,Norway,Swine,Domestic,Mammal,High,No,
157,Norway,Human,Human,Mammal,High,No,
158,Nigeria,Guineafowl,Domestic,Avian,High,No,
159,Nigeria,Chicken,Domestic,Avian,High,No,
160,Nigeria,Ostrich,Domestic,Avian,High,No,
161,Ecuador,Human,Human,Mammal,High,No,
162,Czech Republic,Swine,Domestic,Mammal,High,No,
163,Czech Republic,Human,Human,Mammal,High,No,
164,Israel,Turkey,Domestic,Avian,High,No,
165,Israel,Chicken,Domestic,Avian,High,No,
166,Israel,Avian,Domestic,Avian,High,No,
167,Australia,Avian,Unknown,Avian,,Yes,Go Aussie.
168,Australia,Teal,Wild,Avian,Low,No,
169,Australia,Black Duck,Wild,Avian,Low,No,
