,Country,Species,Habitat/setting,Host,Human-interface,Check surveillance data,Notes
125,Italy,Quail/Avian,Domestic,,,,
126,Cote dIvoire,Duck/Avian,Domestic,,,,
127,Russia,Whooper Swan/Avian,Wild,,,,
128,Egypt,Chicken/Avian,Domestic,,,,
129,Taiwan,Chicken/Avian,Domestic,,,,
130,South Korea,Duck/Avian,Domestic,,,,
131,Australia,Sooty Tern/Avian,Wild,,,,
132,Italy,Mute Swan/Avian,Wild,,,,
133,Portugal,Mallard/Avian,Wild,,,,
134,China,Garganey/Avian,Wild,,,,
135,Cote dIvoire,Chicken/Avian,Domestic,,,,
136,Australia,Teal/Avian,Wild,,,,
137,Netherlands,Goose/Avian,Wild,,,,
138,Georgia,Northern Shoveler/Avian,Wild,,,,
139,Canada,Common Coot/Avian,Wild,,,,
140,Mongolia,Duck/Avian,Wild,,,,
141,Netherlands,Teal/Avian,Wild,,,,
142,Israel,Chicken/Avian,Domestic,,,,
143,Thailand,Duck/Avian,Domestic,,,,
144,Canada,Green-Winged Teal/Avian,Wild,,,,
145,USA,Sanderling/Avian,Wild,,,,
146,Slovenia,Swan/Avian,Wild,,,,
147,Egypt,Turkey/Avian,Domestic,,,,
148,United Arab Emirates,Chicken/Avian,Domestic,,,,
149,Hong Kong,Egret/Avian,Wild,,,,
150,USA,Common Goldeneye/Avian,Wild,,,,
151,Hungary,Mute Swan/Avian,Wild,,,,
152,Nigeria,Guineafowl/Avian,Domestic,,,,
153,Viet Nam,Mallard/Avian,Wild,,,,
154,USA,Red Knot/Avian,Wild,,,,
155,Canada,Lesser Scaup/Avian,Wild,,,,
156,Hong Kong,Teal/Avian,Wild,,,,
157,China,Chicken/Avian,Domestic,,,,
158,Japan,Chicken/Avian,Domestic,,,,
159,Netherlands,Northern Shoveler/Avian,Wild,,,,
160,Russia,Great Crested Grebe/Avian,Wild,,,,
161,Netherlands,Barnacle Goose/Avian,Wild,,,,
162,Japan,Mallard/Avian,Wild,,,,
163,Mongolia,Herring Gull/Avian,Wild,,,,
164,China,Goose/Avian,Domestic,,,,
165,Taiwan,Duck/Avian,Domestic,,,,
166,USA,Green-Winged Teal/Avian,Wild,,,,
167,USA,Snow Goose/Avian,Wild,,,,
168,Russia,Rook/Avian,Wild,,,,
169,USA,Turkey/Avian,Domestic,,,,
170,China,Green-Winged Teal/Avian,Wild,,,,
171,Italy,Chicken/Avian,Domestic,,,,
172,Viet Nam,Dove/Avian,Wild,,,,
173,Japan,Eagle/Avian,Wild,,,,
174,China,Egret/Avian,Wild,,,,
175,India,Aquatic Bird/Avian,Wild,,,,
176,Sweden,Mallard/Avian,Wild,,,,
177,USA,Coot/Avian,Wild,,,,
178,Russia,Turkey/Avian,Domestic,,,,
179,Australia,Starling/Avian,Wild,,,,
180,Israel,Turkey/Avian,Domestic,,,,
181,Viet Nam,Muscovy Duck/Avian,Domestic,,,,
182,USA,Redhead/Avian,Wild,,,,
183,Poland,Chicken/Avian,Domestic,,,,
184,Cambodia,Stork/Avian,Wild,,,,
185,USA,Knot/Avian,Wild,,,,
186,Myanmar,Quail/Avian,Domestic,,,,
187,Nigeria,Ostrich/Avian,Wild,,,,
188,Georgia,Teal/Avian,Wild,,,,
189,France,Turkey/Avian,Domestic,,,,
190,Zambia,Pelican/Avian,Wild,,,,
191,China,Waterfowl/Avian,Wild,,,,
192,USA,Pintail/Avian,Wild,,,,
193,Italy,Ostrich/Avian,Wild,,,,
194,India,Goose/Avian,Domestic,,,,
195,Viet Nam,Quail/Avian,Domestic,,,,
196,Canada,Murre/Avian,Wild,,,,
197,China,Pigeon/Avian,Wild,,,,
198,Belgium,Mallard/Avian,Wild,,,,
199,South Korea,Bird/Avian,Wild,,,,
200,Netherlands,Ruddy Turnstone/Avian,Wild,,,,
201,Germany,Swan/Avian,Wild,,,,
202,USA,null,Unknown,,,,
203,Mongolia,Red-Crested Pochard/Avian,Wild,,,,
204,Sweden,Dunlin/Avian,Wild,,,,
