,Country,Species,Habitat/setting,Host,Human-interface,Check surveillance data,Notes
202,Netherlands,Goose/Avian,Wild,,,,
240,China,Goose/Avian,,,,,
278,India,Goose/Avian,,,,,
316,Hungary,Goose/Avian,Wild,,,,
374,Iceland,Goose/Avian,Wild,,,,
353,China,Great Black-Headed Gull/Avian,,,,,
236,Russia,Great Crested Grebe/Avian,,,,,
420,USA,Greater Scaup/Avian,Wild,,,,
20,USA,Greater White-Fronted Goose/Avian,Wild,,,,
2,Russia,Grebe/Avian,,,,,
167,China,Grebe/Avian,,,,,
424,USA,Grebe/Avian,Wild,,,,
213,Canada,Green-Winged Teal/Avian,Wild,,,,
242,USA,Green-Winged Teal/Avian,Wild,,,,
246,China,Green-Winged Teal/Avian,,,,,
301,Hong Kong,Grey Heron/Avian,,,,,
5,Hong Kong,Guineafowl/Avian,,,,,
227,Nigeria,Guineafowl/Avian,,,,,
309,Italy,Guineafowl/Avian,Wild,,,,
437,USA,Guineafowl/Avian,Wild,,,,
53,Georgia,Gull/Avian,,,,,
95,USA,Gull/Avian,Wild,,,,
414,Russia,Gull/Avian,,,,,
425,Iceland,Gull/Avian,Wild,,,,
406,Hong Kong,Heron/Avian,,,,,
82,Netherlands,Herring Gull/Avian,Wild,,,,
239,Mongolia,Herring Gull/Avian,,,,,
345,USA,Herring Gull/Avian,Wild,,,,
418,Iceland,Herring Gull/Avian,Wild,,,,
364,Canada,Hooded Merganser/Avian,Wild,,,,
92,Romania,Horse,Domestic,,,,
402,Kazakhstan,Human,Human,,,,
370,Iceland,Iceland Gull/Avian,Wild,,,,
105,Viet Nam,Japanese Quail/Avian,,,,,
265,USA,Knot/Avian,Wild,,,,
293,USA,Laughing Gull/Avian,Wild,,,,
76,USA,Least Sandpiper/Avian,Wild,,,,
61,USA,Lesser Scaup/Avian,Wild,,,,
230,Canada,Lesser Scaup/Avian,Wild,,,,
356,Hong Kong,Little Egret/Avian,,,,,
96,Thailand,Little Grebe/Avian,,,,,
144,China,Little Grebe/Avian,,,,,
14,USA,Long-Tailed Duck/Avian,Wild,,,,
48,Hong Kong,Magpie Robin/Avian,,,,,
71,China,Magpie/Avian,,,,,
13,Canada,Mallard-Black Duck Hybrid/Avian,Wild,,,,
10,Canada,Mallard/Avian,Wild,,,,
16,Iceland,Mallard/Avian,Wild,,,,
31,Germany,Mallard/Avian,Wild,,,,
47,New Zealand,Mallard/Avian,,,,,
75,Russia,Mallard/Avian,,,,,
133,Italy,Mallard/Avian,Wild,,,,
148,South Korea,Mallard/Avian,,,,,
196,Portugal,Mallard/Avian,Wild,,,,
228,Viet Nam,Mallard/Avian,,,,,
238,Japan,Mallard/Avian,,,,,
255,Sweden,Mallard/Avian,Wild,,,,
284,Belgium,Mallard/Avian,Wild,,,,
296,USA,Mallard/Avian,Wild,,,,
334,Netherlands,Mallard/Avian,Wild,,,,
335,France,Mallard/Avian,Wild,,,,
389,Georgia,Mallard/Avian,,,,,
432,China,Mallard/Avian,,,,,
280,Canada,Murre/Avian,Wild,,,,
24,France,Muscovy Duck/Avian,Wild,,,,
35,Russia,Muscovy Duck/Avian,,,,,
159,USA,Muscovy Duck/Avian,Wild,,,,
261,Viet Nam,Muscovy Duck/Avian,,,,,
319,China,Muscovy Duck/Avian,,,,,
33,Netherlands,Mute Swan/Avian,Wild,,,,
124,Germany,Mute Swan/Avian,Wild,,,,
163,Croatia,Mute Swan/Avian,,,,,
178,Russia,Mute Swan/Avian,,,,,
194,Italy,Mute Swan/Avian,Wild,,,,
226,Hungary,Mute Swan/Avian,Wild,,,,
416,USA,Mute Swan/Avian,Wild,,,,
308,China,Myna/Avian,,,,,
176,Japan,Northern Pintail/Avian,,,,,
349,Hong Kong,Northern Pintail/Avian,,,,,
441,Canada,Northern Pintail/Avian,Wild,,,,
451,USA,Northern Pintail/Avian,Wild,,,,
203,Georgia,Northern Shoveler/Avian,,,,,
234,Netherlands,Northern Shoveler/Avian,Wild,,,,
375,USA,Northern Shoveler/Avian,Wild,,,,
440,Hong Kong,Northern Shoveler/Avian,,,,,
0,Canada,null,Unknown,,,,
86,Russia,null,,,,,
288,USA,null,Unknown,,,,
446,Thailand,Openbill Stork/Avian,,,,,
119,South Africa,Ostrich/Avian,,,,,
269,Nigeria,Ostrich/Avian,,,,,
277,Italy,Ostrich/Avian,Wild,,,,
401,China,Ostrich/Avian,,,,,
41,Japan,Parakeet/Avian,,,,,
107,USA,Parrot/Avian,Wild,,,,
161,China,Parrot/Avian,,,,,
326,Taiwan,Partridge/Avian,,,,,
273,Zambia,Pelican/Avian,,,,,
37,Hong Kong,Peregrine Falcon/Avian,,,,,
385,Japan,Peregrine Falcon/Avian,,,,,
300,Hong Kong,Pheasant/Avian,,,,,
448,USA,Pheasant/Avian,Wild,,,,
50,USA,Pigeon/Avian,Wild,,,,
63,Russia,Pigeon/Avian,,,,,
281,China,Pigeon/Avian,,,,,
359,Laos,Pigeon/Avian,,,,,
403,Thailand,Pigeon/Avian,,,,,
405,Hong Kong,Pigeon/Avian,,,,,
305,Iceland,Pink-Footed Goose/Avian,Wild,,,,
318,Netherlands,Pink-Footed Goose/Avian,Wild,,,,
275,USA,Pintail/Avian,Wild,,,,
312,Canada,Pintail/Avian,Wild,,,,
42,Italy,Poultry/Avian,Domestic,,,,
15,Thailand,Quail/Avian,,,,,
22,Indonesia,Quail/Avian,,,,,
142,Hong Kong,Quail/Avian,,,,,
184,Italy,Quail/Avian,Wild,,,,
268,Myanmar,Quail/Avian,,,,,
279,Viet Nam,Quail/Avian,,,,,
306,USA,Quail/Avian,Wild,,,,
315,Japan,Quail/Avian,,,,,
337,Lebanon,Quail/Avian,,,,,
373,China,Quail/Avian,,,,,
442,Bangladesh,Quail/Avian,,,,,
229,USA,Red Knot/Avian,Wild,,,,
289,Mongolia,Red-Crested Pochard/Avian,,,,,
165,Australia,Red-Necked Stint/Avian,,,,,
436,Canada,Redhead Duck/Avian,Wild,,,,
262,USA,Redhead/Avian,Wild,,,,
299,Canada,Redhead/Avian,Wild,,,,
456,USA,Rhea/Avian,Wild,,,,
102,USA,Ring-Necked Duck/Avian,Wild,,,,
244,Russia,Rook/Avian,,,,,
150,Argentina,Rosy-Billed Pochard/Avian,,,,,
175,Canada,Ruddy Turnstone/Avian,Wild,,,,
286,Netherlands,Ruddy Turnstone/Avian,Wild,,,,
464,USA,Ruddy Turnstone/Avian,Wild,,,,
427,Kuwait,Saker Falcon/Avian,,,,,
214,USA,Sanderling/Avian,Wild,,,,
56,Canada,Scaup/Avian,Wild,,,,
317,USA,Semipalmated Sandpiper/Avian,Wild,,,,
429,Brazil,Semipalmated Sandpiper/Avian,,,,,
158,Australia,Sharp-Tailed Sandpiper/Avian,,,,,
130,USA,Shorebird/Avian,Wild,,,,
379,Netherlands,Shoveler/Avian,Wild,,,,
408,Canada,Shoveler/Avian,Wild,,,,
49,China,Shrike/Avian,,,,,
174,China,Silky Chicken/Avian,Domestic,,,,
340,Hong Kong,Silky Chicken/Avian,Domestic,,,,
243,USA,Snow Goose/Avian,Wild,,,,
328,USA,Softbill/Avian,Wild,,,,
193,Australia,Sooty Tern/Avian,,,,,
460,China,Sparrow/Avian,,,,,
151,China,Spot-Billed Duck/Avian,Domestic,,,,
259,Australia,Starling/Avian,,,,,
310,Russia,Starling/Avian,,,,,
264,Cambodia,Stork/Avian,,,,,
149,Japan,Swan/Avian,,,,,
219,Slovenia,Swan/Avian,,,,,
287,Germany,Swan/Avian,Wild,,,,
339,USA,Swan/Avian,Wild,,,,
342,China,Swan/Avian,,,,,
457,Canada,Swan/Avian,Wild,,,,
455,Ontario,Swine,Domestic,,,,
45,USA,Teal/Avian,Wild,,,,
201,Australia,Teal/Avian,,,,,
209,Netherlands,Teal/Avian,Wild,,,,
231,Hong Kong,Teal/Avian,,,,,
270,Georgia,Teal/Avian,,,,,
291,Italy,Teal/Avian,Wild,,,,
367,Russia,Teal/Avian,,,,,
384,South Korea,Teal/Avian,,,,,
292,Thailand,Tree Sparrow/Avian,,,,,
30,Japan,Tufted Duck/Avian,,,,,
362,Portugal,Tufted Duck/Avian,Wild,,,,
66,Japan,Tundra Swan/Avian,,,,,
139,South Korea,Tundra Swan/Avian,,,,,
449,USA,Tundra Swan/Avian,Wild,,,,
67,Cote dIvoire,Turkey/Avian,,,,,
177,Saudi Arabia,Turkey/Avian,,,,,
221,Egypt,Turkey/Avian,,,,,
245,USA,Turkey/Avian,Wild,,,,
258,Russia,Turkey/Avian,,,,,
260,Israel,Turkey/Avian,,,,,
271,France,Turkey/Avian,Domestic,,,,
352,Poland,Turkey/Avian,Domestic,,,,
438,Canada,Turkey/Avian,Domestic,,,,
443,Italy,Turkey/Avian,Domestic,,,,
141,USA,Waterfowl/Avian,Wild,,,,
160,Hong Kong,Waterfowl/Avian,,,,,
274,China,Waterfowl/Avian,,,,,
447,South Korea,Waterfowl/Avian,,,,,
430,Egypt,Whiskered Tern/Avian,,,,,
123,Canada,White-Rumped Sandpiper/Avian,Wild,,,,
380,USA,White-Winged Scoter/Avian,Wild,,,,
64,Japan,Whooper Swan/Avian,,,,,
157,Mongolia,Whooper Swan/Avian,,,,,
186,Russia,Whooper Swan/Avian,,,,,
322,China,Wild Chicken/Avian,,,,,
